drugName,condition,review,rating,date,usefulCount
Latuda,Bipolar Disorde,"""I have had great experience so far with Latuda. I started taking 40 mg in Nov., and it worked great for about a week, then I crashed again. Dr. put it up to 80 mg and I&#039;ve been great ever since. I&#039;m afraid, though, because my sex drive has completely disappeared, and if it&#039;s the Latuda, I&#039;m going to have to go off it-and I hate to go off something that&#039;s working so well. However, I&#039;m also on a pretty high dose of Lexapro, and the Dr. thinks it&#039;s more likely to be a side effect of that, so we&#039;re decreasing that and hopefully that will work, because otherwise I&#039;m feeling really good. I&#039;m really afraid I&#039;ll have to go off it.""",8,20-Feb-12,39
Latuda,Bipolar Disorde,"""I've taken a lot of medications. I was prescribed latuda and it wasnt a very good experience. I couldn&#039;t even sit down to watch a movie without feeling jittery and needing to be on the go. When it was bed time my legs were so restless I couldn&#039;t sleep. I would lay in bed kicking my legs non stop. I&#039;ll never take this again.""",3,28-Oct-16,25
Latuda,Bipolar Disorde,"""I was deeply suicidal for 15 years with repetitive suicidal thoughts on a daily basis. I was at the end of my rope close to killing myself and my doctor suggested latuda. I started at 80 mg 1x a day at bed time. Suicidal thoughts and constant thoughts of my 15 year old cat constantly dying largely diminished. I have a down episode once every 6 days about where I am hopeless and negative thinking again, but that lasts only a day or two. I am not missing work any more and have no problem waking up. I can only sleep 3 hours a night though after 3 months and my doctor upped me to 120 mg. Bad decision still sleepless. Going to try to go down to 40mg to help sleep will report back with results. Xanax and unisom help sleep. Well after 6 months on""",9,25-Dec-15,33
Latuda,Bipolar Disorde,"""I have been taking Latuda 80 mg for 8 months and am on no other medications for medication induced bipolar disorder which was caused by antidepressants prescribed for anxiety.  Latuda should be taken with 350 calories but when I took the medicine with food I was completely engulfed in anxiety within an hour.  Now I take it at night with no food.  I sleep for 12 hours at night and feel pretty good but am easily irritated.  I had the genetic testing which indicated that I MAY be a rapid metabolizer of this medicine so I&#039;m not sure if I am not getting enough of the medicine (because I am not taking it with food) and that is the cause of my irritability or if 80mg is causing irritability. """,3,23-Apr-13,34
Latuda,Schizophrenia,"""We've heard of the Latuda 20-40 mg restlessness/sense of muscle quiver being controlled by a small .5mg Benztropine daily dosage taken with the Latuda.  Both were taken in evening as it seemed to help with sleep. I believe Benztropine may normally be given for Parkinson. This was suggested by an experienced Psychiatrist who reviewed medications looking for one that had the side effect to address and to help with the sense of muscle quiver.""",9,5-Feb-16,15
Latuda,Bipolar Disorde,"""I was recently diagnosed bipolar type 2 with mostly depression episodes. I was before on citalopram for 6 months after burning out in April. Latuda has really helps with the mood swings, I'm much more happy, social and productive. It&#039;s effect is almost instant. I&#039;m on 10mg and will up to 20mg soon. The only negative effect I&#039;ve experienced with Latuda is brain fog. It&#039;s been challenging for me as I am a university student. With Citalopram I would get straight As, study long periods and memorize 200 pages in 2 days. With Latuda, I have trouble memorizing a paragraph. I also tend to forget stuff. Psychiatrist says it will get better with time. Even tho I enjoyed Citalopram, I had terrible side effects. With Latuda, none. I finally feel normal.""",8,3-Nov-17,2
Latuda,Bipolar Disorde,"""I've tried for six months and would always wake up after only 3 hours. I was great for 4 or 5 days and then would sink into deep depression and threaten family with suicide for about 2 days. . Could never get sleep under control. Made my mood swings more dramatic. Have stopped and gone back to geodon. Just have to put more effort in personally to make myself better to get past serious depression.""",4,25-Dec-15,19
Latuda,Bipolar Disorde,"""I took Latuda yesterday for the first time. I took it around 5 pm. I couldn&#039;t sleep well during the night but that was probably just getting used to the medicine. Went for a walk for exercise felt great. Felt pleasure again. Felt joy and happiness and love.""",10,7-May-14,92
Latuda,Bipolar Disorde,"""I recently started this medication after issues with my previous meds that lasted two and a hhalf years. Major improvements! I enjoy the clarity, the increase in motiviation (for finishing tasks and social experiences) and lack of &#039;fog&#039; that used to cloud my mind. I&#039;m a big guy, so I started on 80mg: which was way too strong. But after cutting the dose in half, I am actually looking and feeling better than I have for years; my therapist, psychiatrist, family and friends all notice an extremely postive difference and vocalize this almost every day :) 
Taking it with dinner, though, seems to cause my mental and physical energy to dissipate rapidly. I go to bed much earlier than I&#039;d like to, though.""",8,21-Nov-15,35
Latuda,Bipolar Disorde,"""Worked extremely well when I first started it at 20mg- I felt amazing good, started listening to music , became more affectionate and loving with friends and family , I was feeling so good that I started telling people out of the blue that I feel happy for first time in my life. BUT, that didn&#039;t last for very long. Over the next 4-5 weeks it completely stopped working and my old depressive symptoms of my bipolar disease came back. My doc upped the dosage to 40mg to see if I could get back to the old positive state I had before at the beginning but no dice . The higher 40mg dose gave me horrible severe anxiousness, agitation , and restlessness. Others have referred to this state of agitation as akathisia. I was climbing the walls!""",3,2-Feb-16,40
Latuda,Bipolar Disorde,"""Before I took latuda, my bipolar disorder was pretty much ruining my life. I started latuda and about 2 months later, while I was starting to feel so much better. I also noticed that I was starting to feel overwhelmed and was starting to become delusional and developed irrational fears such as being scared to even go outside for example. I stopped latuda and went back to feeling normal. I thought it might have just been me and my bipolar was starting to have a severe effect on my life again so just a few months ago I decided to try latuda again. And within a week I was starting to feel overwhelmed and delusional again. I will never take it again. While the medication was effective, the side effects were horrific.""",1,18-Dec-15,30
Latuda,Bipolar Disorde,"""I was on 74mg of Latuda, gained 30lbs overnight and developed tardive dyskinesia.
For me the side effects outweighed the therapeutic benefits.""",1,7-Jul-15,22
Latuda,Schizophrenia,"""I started latuda last May for my schizophrenia. I developed schizophrenia when I was 16 (4 years ago) but after being on like 6 billion types of medications, this one seemed to work best..the side effects were the worst! I remember one experience clearly. I was on vacation at the beach last summer and I took a latuda pill before going out to eat with my family. It kicked in after 30 min time. All of a sudden, I began feeling extremely sleepy, dizzy, and I had EXTREME akathisia? So terrible, I couldn&#039;t explain it and to top it off, my heart was racing I was having a panic attack! In the restaurant! And at the same time I was sleepy as hell, but I kept my cool. My mum took me back to the hotel where I immediately fell asleep..terrible""",3,20-Mar-17,12
Latuda,Bipolar Disorde,"""I took Latuda 20mg for 2 weeks. Was taking Abilify and had gained 8 pounds. Thought Latuda would help me lose weight but made me ravenous and gained 3 lbs in 4 days.  Went back on Abilify.""",6,18-Nov-13,25
Latuda,Schizophrenia,"""Horrific experience. Was only on it for 1 week (40mg). Muddled thoughts, numb tongue, restlessness, severe insomnia, nausea.""",2,2-May-16,14
Latuda,Schizophrenia,"""First off I would like to say none of these medications are effective to me, they have never helped me in any considerable way. I was diagnosed schizophrenic but for the most part it was the anxiety controlling my life, never the hallucinations. Every medication on the market besides two or three cause an enormous amount of weight gain and intolerable side effects with no legal recourse if encountered. The pharmaceutical industry has hired many attorneys and lobbyists to destroy all liability in the event of a potential hazardous or death inducing side effect for the most part. In California it is impossible to sue a doctor (psychiatrist) who commits malpractice due to the cap on awards. It&#039;s all snake oil but with actual side effects.""",5,29-Aug-17,4
Latuda,Bipolar Disorde,"""I&#039;ve only been on Latuda for a week, what a difference it has made in my mood. It has lifted the depression &amp; debilitating anxiety. I take it along with Depakote &amp; Klonopin (both of which I&#039;ve been on for many years). I take it at night because it makes me sleepy. It does give me a &quot;lump in the throat&quot; sensation, for some reason, about an hour and 1/2 after I take it and that feeling lasts about 2-3 hours.  The next day it&#039;s gone.  I will talk with my psych PA about it, to see what it may be.  I haven&#039;t had this much motivation in a very long time, and it&#039;s not a manic or hypomanic feeling, I just feel like living again.  I hope it continues to work well and doesn&#039;t cause any intolerable side effects.""",9,5-May-13,88
Latuda,Schizoaffective Disorde,"""This medicine has been amazing. I was put on 40 mg at night and we changed it to 20 mg in the morning and 20 mg at night. It makes me a bit sedated during the day, but honestly this is a relief, since I&#039;m just really glad not to be so paranoid and afraid anymore. It&#039;s made the voices leave, paranoia go way down, and I don&#039;t fly off the handle over every little thing anymore. No weight gain, no increased appetite, and I don&#039;t feel dumb as a rock like I have on Risperdal or Geodon. Would definitely recommend this medicine to anyone who hasn&#039;t tried it but who needs a change! I&#039;ve been on it for about 4 and a half weeks.""",10,7-Apr-12,41
Latuda,Bipolar Disorde,"""I&#039;ve been on Latuda for nine weeks now. My first week was 20mg, second week 40 mg, third week 60mg, fourth week 80 mg, fifth week 90 mg, and sixth week 120 mg.  I feel more upbeat. I don&#039;t worry like in the past about my job. I used to think people were saying things behind my back.  I lost a few pounds. I am more focused, kind of like being on adderral.  My dosage is at the sweetspot.  I find I have to take it late before I go to sleep otherwise I will want to go to sleep. I use this in combination with Wellbutrin 300mg XL in the morning with one 450 mg of lithium and two 450 mg of lithium at night with the 120 mg of latuda.  The prescription is expensive if you don&#039;t have insurance it is 1000 a month, otherwise with insurance its 75 mo.""",10,22-Jul-17,23
Latuda,Bipolar Disorde,"""I have been on all sorts of meds. Wellbutrin was beautiful but my throat swelled up and I broke out in hives. They  have tried lithium (scary rashes that took 4 months to clear) some other ones that made me worse or rashes. Latuda is the first that has been close to the awesomeness of Wellbutrin. I have more energy, eat less, fog like state of not fully &quot;being there&quot; is gone. I feel like a different person. The first week was nauseating but that went away and lasted a half hour at a time. When I bumped up to 40mg the nausea came back. My kidneys seem to be hurting but I am going with a wait and see if that goes away as well. I do not want to be taken off. Meds are hard to find that work.""",8,27-Dec-13,116
Latuda,Bipolar Disorde,"""I&#039;ve only taken latuda for 4 days. I&#039;d been diagnosed with bipolar several times in the last decade but too scared to try other meds. Was on Lexapro which made me feel warm and bundled up but not myself. I don&#039;t know how to say this but I&#039;m feeling better than I have for 10 years. I forgot what it was like to be me. Taking it at night because it make me feel sleepy for a few hours. I just do things rather than want to sleep or come up with reasons not to do them. I found myself smiling today without a reason. I&#039;m hoping this positive reaction will continue. If so I can&#039;t believe what a great drug this is.""",10,19-Sep-15,53
Latuda,Schizophrenia,"""I take been taking Latuda for year i have gone to 40mg up 80mg 
I can take 40mgs but it doesn&#039;t help and 80mgs makes me feel high and i hate that feeling and the voices don&#039;t stop or seeing shadows where people are wearing black gowns i still need more help i can&#039;t work because i feel like everybody talking about me all the time but worst thing is seeing things thats not really there""",10,15-Aug-16,15
Latuda,Bipolar Disorde,"""First medicine in years that has seemed to help depression without causing mania.""",10,21-Sep-14,76
