StateAbbr,StateDesc,CountyName,CountyFIPS,TotalPopulation,harthritis,hasthma,hbphigh,hcancer,hhighchol,hkidney,hcopd,hchd,hdiabetes,hmhlth,hphlth,hteethlost,hstroke
AK,Alaska,Aleutians East,02013,3515,19.6,7.8,33,4.5,33.2,2.8,5.7,6.3,13.6,11.6,13.3,22,3.3
AK,Alaska,Aleutians West,02016,5723,18.7,7.5,29.8,4.2,32.8,2.3,5,5.3,11.2,11.2,11.6,14.5,2.7
AK,Alaska,Anchorage,02020,291538,21.8,9,29.7,5.9,32.1,2.4,5.5,5.1,8.9,12.2,10.9,11.7,2.6
AK,Alaska,Bethel,02050,18216,26.4,14.6,34,5.7,31.9,4,11.7,9.1,15.7,21.4,22.2,34.1,5.5
AK,Alaska,Bristol Bay,02060,877,27.4,10.7,33.5,7.2,34.7,3.1,7.7,7.3,11.7,13.9,14.1,15.8,3.9
AK,Alaska,Denali,02068,2059,24.1,9.1,29.7,6.4,33.5,2.6,6.5,6.1,9.4,12.4,12.2,12.2,3
AK,Alaska,Dillingham,02070,5000,26.9,13.1,32.5,6.2,31.7,3.6,9.9,8.3,13.9,18.4,18.7,26,4.8
AK,Alaska,Fairbanks North Star,02090,98971,22.1,8.9,27.7,5.4,31.6,2.2,5.3,4.8,7.7,12.8,10.5,11.6,2.4
AK,Alaska,Haines,02100,2474,29,9.4,35.3,8.6,37.5,3.2,7.4,7.5,10.9,11.3,12.7,11.2,3.6
AK,Alaska,Hoonah-Angoon,02105,2151,31.3,10.6,40.9,8.8,39.1,3.9,9.5,9.7,14.8,13.4,16.3,17,4.9
AK,Alaska,Juneau,02110,32113,26.8,8.9,31.1,6.7,31.4,2.5,5.6,5.5,8.4,11.6,10.6,10.1,2.7
AK,Alaska,Kenai Peninsula,02122,58533,30.6,9.5,34.1,7.6,35.1,3.1,7.8,7.4,10.7,13.3,14.2,13.6,3.6
AK,Alaska,Ketchikan Gateway,02130,13918,26.2,9.7,32.9,7.1,34.8,2.9,7.2,6.8,10.6,12.8,13.3,13.5,3.4
AK,Alaska,Kodiak Island,02150,13345,20.1,8.6,28.3,5.5,32.1,2.4,5.7,5.3,9.5,11.8,11.1,13.1,2.7
AK,Alaska,Kusilvak,02158,8303,29.4,16.1,37.4,5.3,33.3,4.7,14.7,10.7,18.3,25.9,27.1,46,6.6
AK,Alaska,Lake and Peninsula,02164,1587,27.8,12.6,35.1,6.4,34.4,3.7,10.1,8.6,14.5,17.8,18.8,25.7,4.9
AK,Alaska,Matanuska-Susitna,02170,107610,25,10,30.7,6.5,32.3,2.6,7,5.9,8.9,13.4,12.5,14.8,3
AK,Alaska,Nome,02180,10008,24.8,13.1,33.7,5.7,31.9,3.6,10.1,8.2,13.8,19.5,19.2,28.9,4.7
AK,Alaska,North Slope,02185,9872,22.5,10.2,32.5,5.5,31.9,2.8,7.2,6.5,11.2,14.6,14.3,20.2,3.5
AK,Alaska,Northwest Arctic,02188,7671,27.3,13.5,34.3,5.7,31.2,3.7,10.6,8.7,14.9,20.2,20.3,32.9,5
AK,Alaska,Petersburg,02195,3221,27.9,9.3,32.9,7.7,36,3,7.5,7.4,10.9,12.2,13,13.2,3.5
AK,Alaska,Prince of Wales-Hyder,02198,6422,30.6,11.3,38,7.7,36.8,3.7,9.8,9.2,14.2,15.3,17.3,19.3,4.8
AK,Alaska,Sitka,02220,8647,24.5,9.2,30.6,7.1,33.1,2.8,6.4,6.3,9.7,12.1,11.9,12.2,3.2
AK,Alaska,Skagway,02230,1148,23.1,8.7,29.6,6.7,33,2.4,5.7,5.4,7.9,11.6,10.6,10.1,2.6
AK,Alaska,Southeast Fairbanks,02240,6918,26.5,9.4,31.3,7.1,35.8,3,7.8,7.2,10.9,13.3,13.3,16.6,3.5
AK,Alaska,Valdez-Cordova,02261,9164,24.9,9,31,7,34,2.7,6.5,6.4,9.4,12,12,11.5,3.1
AK,Alaska,Wrangell,02275,2503,32.2,10.1,38.5,8.8,39.6,3.6,9.2,9.1,13.1,13.1,15.4,16.5,4.4
AK,Alaska,Yakutat,02282,604,29.3,10.5,36.8,7.8,36.2,3.7,8.7,9.1,14.3,13.6,15.9,18.7,4.7
AK,Alaska,Yukon-Koyukuk,02290,5327,31.7,13.1,39.9,7.4,35.7,4.4,11.6,10.6,17.1,17.9,20.6,27.6,5.9
AL,Alabama,Autauga,01001,55601,32.5,10.2,39.6,7.4,37,3.1,8.6,7.9,12.9,15.4,14.1,16.1,3.8
AL,Alabama,Baldwin,01003,218022,33.2,9.5,38.9,8.5,40.1,3.2,8.6,7.8,12,13.8,12.9,13.1,3.8
AL,Alabama,Barbour,01005,24881,38,11.6,50,7.5,41.1,4.5,12.1,11,19.7,18.2,19.5,26.6,6.1
AL,Alabama,Bibb,01007,22400,33.7,10.3,43.6,7.2,38.5,3.3,10.1,8.6,14.1,16.7,15.9,20.2,4.3
AL,Alabama,Blount,01009,57840,35,10.2,42.2,8,40.8,3.4,10.5,9.2,13.5,16.3,16.1,19,4.2
AL,Alabama,Bullock,01011,10138,36.3,11.8,50.8,6.6,39.2,4.5,10.9,10.1,20.7,17.7,18.9,28.1,6.2
AL,Alabama,Butler,01013,19680,39.9,11.4,49.9,8,41.1,4.3,11.4,10.4,18.6,17.3,18.6,24.6,5.8
AL,Alabama,Calhoun,01015,114277,35.6,11.1,42.4,7.7,40.3,3.6,10.2,9.1,14.7,17.2,16.3,18.7,4.5
AL,Alabama,Chambers,01017,33615,36.8,11.1,47.7,7.8,40.6,4,10.8,9.8,17.5,16.6,17.3,22,5.3
AL,Alabama,Cherokee,01019,26032,40.1,10.4,44.3,8.9,42.8,3.9,12.1,10.9,15.9,16.6,17.6,20.6,4.9
AL,Alabama,Chilton,01021,44153,35.5,10.7,43.1,7.5,41.6,3.5,10.9,9.4,15.2,17.2,16.8,20.6,4.5
AL,Alabama,Choctaw,01023,12841,40.2,11.4,51.5,8.6,42.3,4.5,11.8,11.1,19.2,16.7,18.4,23.5,6.1
AL,Alabama,Clarke,01025,23920,37,11.4,49.1,7.9,41.3,4.3,11.6,10.7,19.1,17.4,18.7,23.6,5.8
AL,Alabama,Clay,01027,13275,39.1,11,46,8.4,42.3,3.9,12.1,10.5,16.3,17.5,18.2,23.1,5.1
AL,Alabama,Cleburne,01029,14987,36.9,10.5,42.4,8.3,41.2,3.6,11.6,9.9,14.4,17.1,17,20.8,4.6
AL,Alabama,Coffee,01031,51909,32.9,10.2,41.4,7.6,38.6,3.3,9,8.2,14.1,15.3,14.7,16.9,4
AL,Alabama,Colbert,01033,54762,35.1,10.5,44.1,8.1,41.1,3.6,10.3,9.4,14.8,16,15.7,17.7,4.5
AL,Alabama,Conecuh,01035,12277,40.1,11.6,52.9,8.3,43.4,4.8,12.8,11.7,20.5,17.6,19.6,26.9,6.5
AL,Alabama,Coosa,01037,10715,40.5,10.9,49.5,8.6,42.9,4.3,12,11.1,18.6,16.5,18.5,22.5,5.7
AL,Alabama,Covington,01039,36986,38.4,10.8,43.3,8.6,41,3.8,11.1,10.3,15.8,16.3,17.2,20,4.8
AL,Alabama,Crenshaw,01041,13824,37.5,11,45.4,8,40.6,3.9,11.1,9.9,16.4,17.2,17.3,21.4,5
AL,Alabama,Cullman,01043,83442,36.9,10.3,39.3,8,40.7,3.4,10.8,9.2,13.7,16.6,16.5,19,4.2
AL,Alabama,Dale,01045,48956,34.4,10.4,40.9,7.5,36.6,3.4,9.6,8.7,14.4,16.3,15.6,18.9,4.3
AL,Alabama,Dallas,01047,38310,36.8,12.3,51.7,7.4,39.1,4.8,11.4,10.6,21.1,18.1,19,26.5,6.5
AL,Alabama,DeKalb,01049,71385,35.5,11,42.6,7.9,41.7,3.8,12.5,10.5,15.6,18.6,18.8,23.2,4.9
AL,Alabama,Elmore,01051,81887,32.8,10.4,39.3,7.3,37.5,3,8.5,7.5,12.7,15.2,13.5,15.5,3.6
AL,Alabama,Escambia,01053,36748,35.4,11.2,45.2,7.6,39.5,4,11.4,10.2,17.3,17.9,18.5,24.1,5.3
AL,Alabama,Etowah,01055,102501,35.8,10.6,44.3,7.9,41.8,3.6,10.6,9.5,15.2,16.6,16.2,18.3,4.5
AL,Alabama,Fayette,01057,16433,39.1,10.8,44.4,8.5,42.5,3.9,11.7,10.5,15.5,17,17.7,20.8,5
AL,Alabama,Franklin,01059,31363,35.1,10.4,43.4,7.6,40.2,3.6,11.1,9.6,14.8,17.2,17.6,21.3,4.5
AL,Alabama,Geneva,01061,26314,40.1,10.9,45.7,8.5,42.2,4,12.4,11,16.7,17.8,19,22.6,5.2
AL,Alabama,Greene,01063,8233,41.3,12.9,56.9,7.9,42.6,5.8,13.4,12.5,25.6,18.7,22.2,31.5,8.2
AL,Alabama,Hale,01065,14726,38.8,11.9,51.4,7.5,41.1,4.6,11.4,10.5,20,17.6,18.7,24.6,6.2
AL,Alabama,Henry,01067,17209,37.2,10.7,47.2,8.6,42.3,4,11,10.1,16.6,16,16.9,20.4,5.1
AL,Alabama,Houston,01069,104722,34.4,10.8,42.2,7.9,38.6,3.6,10,9.2,16.1,16.5,16.2,19.1,4.5
AL,Alabama,Jackson,01071,51736,38.6,10.8,43.6,8.4,41.7,3.9,12.2,10.8,15.4,17.6,18.5,21,4.9
AL,Alabama,Jefferson,01073,659300,30.8,10,40.8,6.9,35.7,3.4,8.1,7.6,13.5,14.8,13.9,15.6,4.1
AL,Alabama,Lamar,01075,13844,40.6,10.8,46.4,8.7,43.2,4.1,12.4,11.2,16.8,17.3,18.2,21.6,5.2
AL,Alabama,Lauderdale,01077,92387,33.8,10.1,39.9,8.1,39.8,3.3,9.4,8.6,13.2,15.6,14.8,16.9,4
AL,Alabama,Lawrence,01079,32957,35.8,11.1,44.5,8.1,41,3.7,11.4,9.8,15.3,17.4,17.4,20.5,4.8
AL,Alabama,Lee,01081,163941,28,10,34,5.9,34.1,2.8,7.2,6.3,11.2,16.4,12.8,15.5,3.2
AL,Alabama,Limestone,01083,96174,33,10.2,41.1,7.3,38.4,3.1,8.9,7.9,13.1,15.4,14.6,16.2,3.8
AL,Alabama,Lowndes,01085,9974,40.3,12.6,54.6,7.5,41.2,5,12.1,11,22.3,18.3,20.2,29,6.9
AL,Alabama,Macon,01087,18439,34.9,12.4,50.9,6.8,37.4,4.5,9.7,9.3,19.8,17.2,16.9,23.3,6.1
AL,Alabama,Madison,01089,366519,31.3,9.6,37.7,7.4,34.3,3,7.1,7.1,12.2,13.7,12.1,12,3.4
AL,Alabama,Marengo,01091,19066,37.5,11.5,49.5,7.8,40.1,4.4,11,10.2,19,16.9,17.9,22.8,5.8
AL,Alabama,Marion,01093,29763,39.2,10.6,45.8,8.7,42.2,3.8,12,10.6,15.1,17.1,17.8,21.3,4.8
AL,Alabama,Marshall,01095,96109,35.2,10.5,40.6,7.9,40.2,3.6,11.1,9.7,14.5,17.2,17.1,19.9,4.4
AL,Alabama,Mobile,01097,413757,32.7,10.8,41.9,7.2,36.8,3.5,9.1,8.8,14.4,16.1,15.1,20.1,4.5
AL,Alabama,Monroe,01099,21067,40.4,11.7,50.4,8,41.8,4.5,12.2,11.1,19.6,17.8,19.5,24.8,6.1
AL,Alabama,Montgomery,01101,225763,33.1,10.9,43.1,6.7,36,3.6,8.4,8.1,15.9,15.8,15,18.1,4.5
AL,Alabama,Morgan,01103,119089,33.9,10.2,41.9,7.8,39.6,3.4,9.7,8.8,13.7,15.8,15.1,18,4.1
AL,Alabama,Perry,01105,9140,39.2,12.8,51.7,7.3,41.7,5.3,12.9,11.8,22.7,19.8,21.2,32.3,7.2
AL,Alabama,Pickens,01107,19938,38.1,11.3,47,7.6,39.9,4.2,11.2,10.1,18,17.2,17.9,24.2,5.5
AL,Alabama,Pike,01109,33338,29.9,11.4,37.5,6.2,34.3,3.3,8.6,7.6,13.4,17.7,14.8,20.9,4.1
AL,Alabama,Randolph,01111,22725,38.2,10.8,44.2,8.2,41.4,3.8,11.3,10.1,16.1,16.7,17.3,20.2,4.9
AL,Alabama,Russell,01113,57781,34.2,11.3,45.2,6.7,37.6,3.6,9.4,8.2,15.6,17.3,16.2,20.9,4.6
AL,Alabama,St. Clair,01115,88690,34.3,10.1,41.7,7.6,39,3.2,9.8,8.3,13,16.2,15.2,16.4,3.9
AL,Alabama,Shelby,01117,215707,28.6,9.3,38.6,7.4,36.8,2.7,6.9,6.6,10.6,13.4,11.8,10.8,3
AL,Alabama,Sumter,01119,12691,33.8,12.2,50,6.7,38.4,4.4,9.9,9.3,18.9,18,17.3,24.8,5.9
AL,Alabama,Talladega,01121,79828,37.8,11.1,47.8,7.6,39.9,3.9,11.1,9.8,16.7,17.4,17.9,20.7,5.1
AL,Alabama,Tallapoosa,01123,40497,37.7,11,47.8,8.5,41.2,4,11.6,10.4,16.7,16.5,17.2,21.2,5.2
AL,Alabama,Tuscaloosa,01125,208911,28.9,10.4,37.2,6,34.9,2.8,7.5,6.5,12,15.9,13.1,15.7,3.4
